,APR DRG Code,County,Weighted avg,Total Population,Median age,Number of Households,Median Income
0,1,Bronx,615776.01,1455846,33.6,495356,36593
1,1,Erie,66513.25,923995,40.3,386371,54006
2,1,Monroe,338276.3,748680,38.6,300496,55272
3,1,New York,456238.55,1653877,37.1,758345,79781
4,1,Westchester,620069.85,975321,40.6,345885,89968
5,2,Bronx,835738.84,1455846,33.6,495356,36593
6,2,Monroe,866912.36,748680,38.6,300496,55272
7,2,New York,751780.82,1653877,37.1,758345,79781
8,2,Westchester,1541234.6,975321,40.6,345885,89968
9,3,Albany,7327.96,308580,37.8,125376,62293
10,3,Bronx,438310.57,1455846,33.6,495356,36593
11,3,Cayuga,18752,78319,42.5,31428,54664
12,3,Dutchess,88164.69,295685,41.8,107384,75585
13,3,Erie,330841.07,923995,40.3,386371,54006
14,3,Kings,37905.16,2635121,34.8,944650,52782
15,3,Monroe,147126.34,748680,38.6,300496,55272
16,3,Nassau,447038.73,1363069,41.5,444136,105744
17,3,New York,328621.9,1653877,37.1,758345,79781
18,3,Onondaga,154512.51,467669,38.8,185840,57271
19,3,Orange,41311.31,378174,36.9,126460,75146
20,3,Queens,179340.45,2339280,38.3,777904,62008
21,3,Richmond,271925.5,475948,39.9,166150,76244
22,3,Suffolk,341373.04,1497595,41,489328,92838
23,3,Westchester,618088.55,975321,40.6,345885,89968
24,4,Albany,419845.21,308580,37.8,125376,62293
25,4,Bronx,545964.53,1455846,33.6,495356,36593
26,4,Broome,256448.27,196124,39.6,78821,49064
27,4,Cattaraugus,157750.97,78175,41.7,31723,45571
28,4,Cayuga,123073,78319,42.5,31428,54664
29,4,Chautauqua,224812.24,130846,42.3,52983,44304
30,4,Chemung,236289.56,86883,41.2,34664,51251
31,4,Clinton,319590.99,81224,39.4,31680,52759
32,4,Columbia,212524.24,61481,47.4,25470,61093
33,4,Cortland,149913,48334,36.2,17925,52451
34,4,Dutchess,380078.46,295685,41.8,107384,75585
35,4,Erie,369722.39,923995,40.3,386371,54006
36,4,Franklin,375033.82,51054,40.5,18956,50733
37,4,Fulton,120292.38,53955,43.4,22535,48033
38,4,Jefferson,341460.56,116567,31.9,43206,50322
39,4,Kings,424911.5,2635121,34.8,944650,52782
40,4,Livingston,297773,64373,40.4,24432,53654
41,4,Madison,173371.57,71760,41.3,26307,58365
42,4,Monroe,357903.86,748680,38.6,300496,55272
43,4,Nassau,645026.77,1363069,41.5,444136,105744
44,4,New York,690776.17,1653877,37.1,758345,79781
45,4,Niagara,218300.48,212675,43,87978,51656
46,4,Oneida,260292.51,232324,41,90472,51316
47,4,Onondaga,476206.48,467669,38.8,185840,57271
48,4,Ontario,224113.27,109491,43.4,44269,61710
49,4,Orange,452367.11,378174,36.9,126460,75146
50,4,Orleans,48943.33,41584,42.8,16214,49223
51,4,Oswego,238012.02,119833,39.8,45881,51755
52,4,Otsego,283034.47,60750,42,23627,51254
53,4,Putnam,355220.57,99464,43.8,34316,99608
54,4,Queens,392828.61,2339280,38.3,777904,62008
55,4,Rensselaer,220512.95,159800,39.9,64456,63166
56,4,Richmond,430515.74,475948,39.9,166150,76244
57,4,Rockland,478322.93,325027,36.2,99935,88571
