County,Estimate Households,Median Income
Albany,125376,62293
Chautauqua,52983,44304
Kings,944650,52782
New York,758345,79781
Tioga,19996,57153
Allegany,18124,45359
Greene,17106,53214
Hamilton,1095,55587
Washington,23988,52527
Broome,78821,49064
Cayuga,31428,54664
Cattaraugus,31723,45571
Montgomery,19700,47449
Nassau,444136,105744
Richmond,166150,76244
St. Lawrence,41638,48330
Wayne,36578,53693
Orleans,16214,49223
Genesee,23951,54033
Yates,9338,51758
Orange,126460,75146
Saratoga,93129,77548
Rockland,99935,88571
Columbia,25470,61093
Erie,386371,54006
Schuyler,7444,47810
Tompkins,38986,56200
Warren,27249,60222
Chenango,20373,48567
Cortland,17925,52451
Dutchess,107384,75585
Monroe,300496,55272
Oneida,90472,51316
Lewis,10236,51475
Niagara,87978,51656
Madison,26307,58365
Schenectady,53825,61315
Sullivan,27679,53877
Westchester,345885,89968
Delaware,19098,47921
Essex,15257,55294
Jefferson,43206,50322
Schoharie,12539,51842
Bronx,495356,36593
Onondaga,185840,57271
Fulton,22535,48033
Clinton,31680,52759
Seneca,13536,51601
Suffolk,489328,92838
Ulster,69662,61652
Rensselaer,64456,63166
Putnam,34316,99608
Herkimer,25187,49077
Franklin,18956,50733
Wyoming,15686,55459
Chemung,34664,51251
Ontario,44269,61710
Livingston,24432,53654
Oswego,45881,51755
Queens,777904,62008
Steuben,40351,50157
Otsego,23627,51254
New York,7302710,62765
